60,9,21
60,10,26
60,11,18
60,12,
60,13,
60,14,90
60,15,83
60,16,93
60,17,78
60,18,78
60,19,100
60,20,85
60,21,95
60,22,80
60,23,78
60,24,100
61,1,18
61,2,1
61,3,2
61,4,
61,5,
61,6,3
61,7,
61,8,11
61,9,68
61,10,41
61,11,42
61,12,
61,13,
61,14,70
61,15,55
61,16,67
61,17,60
61,18,59
61,19,59
61,20,77
61,21,60
61,22,73
61,23,33
61,24,85
62,1,17
62,2,6
62,3,2
62,4,1
62,5,
62,6,1
62,7,
62,8,18
62,9,18
62,10,83
62,11,25
62,12,23
62,13,19
62,14,85
62,15,65
62,16,75
62,17,75
62,18,85
62,19,95
62,20,75
62,21,95
62,22,85
62,23,65
62,24,85
63,1,18
63,2,6
63,3,2
63,4,1
63,5,
63,6,2
63,7,
63,8,7
63,9,85
63,10,88
63,11,83
63,12,106
63,13,96
63,14,80
63,15,70
63,16,80
63,17,80
63,18,90
63,19,90
63,20,80
63,21,90
63,22,70
63,23,60
63,24,90
64,1,17
64,2,6
64,3,2
64,4,2
64,5,
64,6,2
64,7,
64,8,18
64,9,22
64,10,29
64,11,23
64,12,27
64,13,
64,14,80
64,15,80
64,16,70
64,17,60
64,18,75
64,19,80
64,20,70
64,21,90
64,22,75
64,23,60
64,24,70
65,1,17
65,2,6
65,3,3
65,4,2
65,5,
65,6,2
65,7,
65,8,10
65,9,85
65,10,83
65,11,97
65,12,96
65,13,22
65,14,90
65,15,80
65,16,80
65,17,70
65,18,70
65,19,100
65,20,80
65,21,90
65,22,100
65,23,100
65,24,100
66,1,17
66,2,1
66,3,4
66,4,2
66,5,22
66,6,2
66,7,22
66,8,7
66,9,85
66,10,103
66,11,22
66,12,
66,13,
66,14,95
66,15,70
66,16,70
66,17,80
66,18,80
66,19,90
66,20,90
66,21,90
66,22,85
66,23,80
66,24,90
67,1,18
67,2,1
67,3,4
67,4,2
67,5,
67,6,2
67,7,
67,8,18
67,9,17
67,10,89
67,11,97
67,12,96
67,13,
67,14,81
67,15,51
67,16,80
67,17,66
67,18,83
67,19,60
67,20,82
67,21,89
67,22,76
67,23,51
67,24,90
68,1,18
68,2,1
68,3,3
68,4,3
68,5,92
68,6,2
68,7,85
68,8,2
68,9,76
68,10,64
68,11,55
68,12,85
68,13,69
68,14,90
68,15,85
68,16,90
68,17,75
68,18,85
68,19,80
68,20,95
68,21,95
68,22,80
68,23,75
68,24,75
69,1,19
69,2,1
69,3,2
69,4,2
69,5,
69,6,2
69,7,
69,8,1
69,9,20
69,10,41
69,11,27
69,12,83
69,13,96
69,14,87
69,15,90
69,16,85
69,17,72
69,18,62
69,19,89
69,20,90
69,21,43
69,22,65
69,23,76
69,24,88
70,1,17
70,2,6
70,3,3
70,4,2
70,5,
70,6,2
70,7,
70,8,18
70,9,32
70,10,88
70,11,19
70,12,85
70,13,27
70,14,76
70,15,78
70,16,65
70,17,60
70,18,80
70,19,90
70,20,73
70,21,79
70,22,86
70,23,60
70,24,79
71,1,18
71,2,1
71,3,4
71,4,3
71,5,83
71,6,3
71,7,20
71,8,18
71,9,47
71,10,17
71,11,27
71,12,77
71,13,74
71,14,97
71,15,83
71,16,99
71,17,68
71,18,81
71,19,91
71,20,92
71,21,90
71,22,85
71,23,79
71,24,88
72,1,17
72,2,6
72,3,2
72,4,
72,5,
72,6,2
72,7,
72,8,18
72,9,85
72,10,28
72,11,18
72,12,19
72,13,
72,14,80
72,15,80
72,16,70
72,17,70
72,18,80
72,19,90
72,20,80
72,21,90
72,22,70
72,23,60
72,24,80
73,1,17
73,2,6
73,3,3
73,4,1
73,5,
73,6,1
73,7,
73,8,7
73,9,110
73,10,85
73,11,19
73,12,106
73,13,17
73,14,80
73,15,70
73,16,90
73,17,70
73,18,80
73,19,90
73,20,90
73,21,90
73,22,70
73,23,60
73,24,100
74,1,17
74,2,6
74,3,4
74,4,
74,5,
74,6,3
74,7,83
74,8,7
74,9,85
74,10,33
74,11,83
74,12,27
74,13,92
74,14,85
74,15,65
74,16,85
74,17,65
74,18,70
74,19,95
74,20,75
74,21,75
74,22,85
74,23,65
74,24,75
75,1,17
75,2,6
75,3,2
75,4,2
75,5,
75,6,2
75,7,
75,8,
75,9,33
75,10,19
75,11,23
75,12,22
75,13,114
75,14,80
75,15,80
75,16,70
75,17,60
75,18,60
75,19,70
75,20,60
75,21,70
75,22,
75,23,65
75,24,80
76,1,17
76,2,6
76,3,2
76,4,2
76,5,
76,6,2
76,7,
76,8,1
76,9,21
